"brand","model","color","price","km","year","transmission","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate","id","eng_power_kw","eng_power_hp","age"
"Audi","A5","White",34499,19580,2020,"Automatic",1984,"Petrol",6.5,"4x4","Sweden","https://carvago.com/car/51878563/audi-a5-coupe-45-tfsi-quattro-180-kw","14/09/2022","51878563",180,245,2
"Skoda","Superb","Black",29949,98200,2022,"Automatic",1968,"Diesel",4.6,"4x2","Germany","https://carvago.com/car/51749466/skoda-superb-2-0-tdi-dsg-premium-edition-140-kw","14/09/2022","51749466",140,190,0
"Mercedes-Benz","A 200","Silver",34749,24000,2021,"Automatic",1950,"Diesel",4.3,"4x2","Italy","https://carvago.com/car/51853555/mercedes-benz-a-200-d-110-kw","14/09/2022","51853555",110,150,1
"BMW","320 Gran Turismo","Grey",23449,34189,2019,"Automatic",1995,"Diesel",5,"4x4","Slovakia","https://carvago.com/car/51852770/bmw-320-gran-turismo-d-xdrive-140-kw","14/09/2022","51852770",140,190,3
"Fiat","Panda","Grey",3899,149000,2009,"Automatic",1242,"Petrol",5,"4x2","Germany","https://carvago.com/car/51599574/fiat-panda-1-2-44-kw","14/09/2022","51599574",44,60,13
"SsangYong","MUSSO","Green",32599,10,2022,"Manual",2157,"Diesel",8.8,"4x4","Germany","https://carvago.com/car/51569370/ssangyong-musso-149-kw","14/09/2022","51569370",149,203,0
"BMW","330","Grey",40449,53890,2019,"Automatic",2993,"Diesel",5.8,"4x2","Germany","https://carvago.com/car/50385070/bmw-330-d-195-kw","14/09/2022","50385070",195,265,3
"Peugeot","208","Red",9949,90145,2018,"Manual",1560,"Diesel",3,"4x2","France","https://carvago.com/car/51252386/peugeot-208-blue-hdi-100-73-kw","14/09/2022","51252386",73,99,4
"Jaguar","E-Pace","White",46649,46800,2020,"Automatic",NA,"Diesel",5,"4x4","Italy","https://carvago.com/car/34971879/jaguar-e-pace-d180-awd-r-dynamic-132-kw","14/09/2022","34971879",132,179,2
"Land Rover","Discovery",NA,62249,68084,2018,"Automatic",3000,"Diesel",7,"4x4","Slovakia","https://carvago.com/car/50897671/land-rover-discovery-190-kw","14/09/2022","50897671",190,258,4
"Audi","A6","White",52149,66890,2020,"Automatic",2967,"Diesel",5.9,"4x4","Germany","https://carvago.com/car/50579929/audi-a6-avant-50-tdi-quattro-210-kw","14/09/2022","50579929",210,286,2
"Volvo","V60","Silver",10399,119000,2014,"Manual",NA,"Diesel",6,"4x2","Belgium","https://carvago.com/car/51566204/volvov6085kw","14/09/2022","51566204",85,116,8
"BMW","530","Black",36849,95660,2019,"Automatic",2993,"Diesel",5.8,"4x4","Germany","https://carvago.com/car/46991293/bmw-530-d-touring-xdrive-195-kw","14/09/2022","46991293",195,265,3
"Fiat","Talento","Black",30949,8745,2021,"Automatic",1997,"Diesel",6,"4x2","France","https://carvago.com/car/51530976/fiat-talento-107-kw","14/09/2022","51530976",107,145,1
"BMW","120","Black",39499,4360,2022,"Automatic",1995,"Diesel",5,"4x2","Poland","https://carvago.com/car/51881272/bmw-120-140-kw","14/09/2022","51881272",140,190,0
"DFSK","Seres 3","White",34599,50,2022,"Automatic",NA,"Electric",NA,"4x2","Germany","https://carvago.com/car/51485350/dfsk-seres-120-kw","14/09/2022","51485350",120,163,0
"BMW","M3","Black",60599,19017,2020,"Automatic",2998,"Petrol",6.3,"4x4","Germany","https://carvago.com/car/51644972/bmw-m3-275-kw","14/09/2022","51644972",275,374,2
"Seat","Ateca","Red",15099,133132,2017,"Manual",999,"Petrol",5,"4x2","Poland","https://carvago.com/car/50841734/seat-ateca-1-0-tsi-style-85-kw","14/09/2022","50841734",85,116,5
"Audi","A1","Black",27499,6395,2021,"Manual",999,"Petrol",5.4,"4x2","Germany","https://carvago.com/car/49613318/audi-a1-30-tfsi-81-kw","14/09/2022","49613318",81,110,1
"BMW","i3","Other interior color",31699,1399,2019,"Automatic",NA,"Electric",NA,NA,"France","https://carvago.com/car/48543354/bmw-i3-120-ah-127-kw","14/09/2022","48543354",127,173,3
"Kia","Venga","Grey",4399,85850,2011,"Manual",1396,"Petrol",6,"4x2","Germany","https://carvago.com/car/51018763/kia-venga-1-4-isg-66-kw","14/09/2022","51018763",66,90,11
"BMW","750","Black",51949,51970,2017,"Automatic",2993,"Diesel",5.7,"4x4","Germany","https://carvago.com/car/48005072/bmw-750-d-xdrive-294-kw","14/09/2022","48005072",294,400,5
"Land Rover","Discovery Sport","Grey",40799,5915,2022,"Manual",1997,"Diesel",5,"4x2","Belgium","https://carvago.com/car/51463960/land-rover-discovery-sport-121-kw","14/09/2022","51463960",121,165,0
"Audi","S3","Black",50799,375,2022,"Automatic",1984,"Petrol",6,"4x4","Poland","https://carvago.com/car/51862017/audi-s3-2-0-tfsi-quattro-228-kw","14/09/2022","51862017",228,310,0
"Mercedes-Benz","E 63 AMG","White",45949,132900,2015,"Automatic",5461,"Petrol",10.5,"4x4","Germany","https://carvago.com/car/51827762/mercedes-benz-e-63-amg-e-t-s-4matic-mct-430-kw","14/09/2022","51827762",430,585,7
